Team,Winners,Runners-up,Total finals,Years won,Years runners-up
Brazil,5,2,7,"1958, 1962, 1970, 1994, 2002","1950, 1998"
Germany,4,4,8,"1954, 1974, 1990, 2014","1966, 1982, 1986, 2002"
Italy,4,2,6,"1934, 1938, 1982, 2006","1970, 1994"
Argentina,3,3,6,"1978, 1986, 2022","1930, 1990, 2014"
France,2,2,4,"1998, 2018","2006, 2022"
Uruguay,2,0,2,"1930, 1950",—
England,1,0,1,1966,—
Spain,1,0,1,2010,—
Netherlands,0,3,3,—,"1974, 1978, 2010"
Hungary,0,2,2,—,"1938, 1954"
Czechoslovakia,0,2,2,—,"1934, 1962"
Sweden,0,1,1,—,1958
Croatia,0,1,1,—,2018
